000122|Dixie Chicks|20241102225344|20241102225344
000123|Otis Redding|20241102225344|20241102225344
000124|The Manhattans|20241102225344|20241102225344
000125|Wall Of Voodoo|20241102225344|20241102225344
000126|Dolly Parton|20241102225344|20241102225344
000127|Alice In Chains|20241102225344|20241102225344
000128|Army of Freshmen|20241102225344|20241102225344
000129|Wasted Youth|20241102225344|20241102225344
000130|Air Supply|20241102225344|20241102225344
000131|El-P|20241102225344|20241102225344
000132|Jason Mraz|20241102225344|20241102225344
000133|The Cult|20241102225344|20241102225344
000134|The All-American Rejects|20241102225344|20241102225344
000135|Archie Bell And The Drells|20241102225344|20241102225344
000136|Big Brother & The Holding Company|20241102225344|20241102225344
000137|Bonnie Tyler|20241102225344|20241102225344
000138|Subhumans (UK)|20241102225344|20241102225344
000139|Fishbone|20241102225344|20241102225344
000140|Giant Drag|20241102225344|20241102225344
000141|Michael Jackson|20241102225344|20241102225344
000142|The War on Drugs|20241102225344|20241102225344
000143|Lightning Hopkins|20241102225344|20241102225344
000144|Jello Biafra and The Melvins|20241102225344|20241102225344
000145|The Runaways|20241102225344|20241102225344
000146|Chuck Berry|20241102225344|20241102225344
000147|Cee Lo Green|20241102225344|20241102225344
000148|All Girl Summer Fun Band|20241102225344|20241102225344
000149|Screaming Trees|20241102225344|20241102225344
000150|SuperHeavy|20241102225344|20241102225344
000151|Mogwai|20241102225344|20241102225344
000152|I Break Horses|20241102225344|20241102225344
000153|Damian Marley|20241102225344|20241102225344
000154|Warren Zevon|20241102225344|20241102225344
000155|Janis Ian|20241102225344|20241102225344
000156|Harry Chapin|20241102225344|20241102225344
000157|Spin Doctors|20241102225344|20241102225344
000158|Urge Overkill|20241102225344|20241102225344
000159|Salt N' Pepa|20241102225344|20241102225344
000160|Turbonegro|20241102225344|20241102225344
000161|Julia Holter|20241102225344|20241102225344
000162|Afroman|20241102225344|20241102225344
000163|Drowning Pool|20241102225344|20241102225344
000164|Foreigner|20241102225344|20241102225344
000165|Doug E. Fresh & The Get Fresh Crew|20241102225344|20241102225344
000166|Inspiral Carpets|20241102225344|20241102225344
000167|The Filaments|20241102225344|20241102225344
000168|Stephen Tintin Duffy|20241102225344|20241102225344
000169|Buddy Rich|20241102225344|20241102225344
000170|School of Fish|20241102225344|20241102225344
000171|Toy Dolls|20241102225344|20241102225344
000172|Awolnation|20241102225344|20241102225344
000173|Fleetwood Mac|20241102225344|20241102225344
000174|The Adicts|20241102225344|20241102225344
000175|Smash Mouth|20241102225344|20241102225344
000176|Cat Stevens|20241102225344|20241102225344
000177|Jimmy Buffett|20241102225344|20241102225344
000178|Right Said Fred|20241102225344|20241102225344
000179|Sister Machine Gun|20241102225344|20241102225344
000180|Soundgarden|20241102225344|20241102225344
000181|Billy Squier|20241102225344|20241102225344
000182|Mumford & Sons|20241102225344|20241102225344
000183|The Butchies|20241102225344|20241102225344
000184|The Quintet|20241102225344|20241102225344
000185|311|20241102225344|20241102225344
000186|Moby|20241102225344|20241102225344
000187|Ace|20241102225344|20241102225344
000188|Ani DiFranco|20241102225344|20241102225344
000189|Our Lady Peace|20241102225344|20241102225344
000190|Florence + the Machine|20241102225344|20241102225344
000191|Premature Ejaculation|20241102225344|20241102225344
000192|Rhye|20241102225344|20241102225344
000193|Lynn Anderson|20241102225344|20241102225344
000194|Run-D.M.C|20241102225344|20241102225344
000195|Art Brut|20241102225344|20241102225344
000196|Johnny Winter|20241102225344|20241102225344
000197|Elton John|20241102225344|20241102225344
000198|Neil Diamond|20241102225344|20241102225344
000199|Regina Spektor|20241102225344|20241102225344
000200|Robyn|20241102225344|20241102225344
000201|Spencer Davis Group|20241102225344|20241102225344
000202|Serge Gainsbourg|20241102225344|20241102225344
000203|OFF!|20241102225344|20241102225344
000204|Filter|20241102225344|20241102225344
000205|Marvin Gaye|20241102225344|20241102225344
000206|Creedence Clearwater Revival|20241102225344|20241102225344
000207|Type O Negative|20241102225344|20241102225344
000208|Brian Eno|20241102225344|20241102225344
000209|Toto|20241102225344|20241102225344
000210|Little Richard|20241102225344|20241102225344
000211|Ike Turner & The Kings Of Rythm|20241102225344|20241102225344
000212|A Fine Frenzy|20241102225344|20241102225344
000213|Gram Parsons|20241102225344|20241102225344
000214|Twista|20241102225344|20241102225344
000215|Chicks on Speed|20241102225344|20241102225344
000216|Panda Bear|20241102225344|20241102225344
000217|Strung Out|20241102225344|20241102225344
000218|Stan Getz, João Gilberto|20241102225344|20241102225344
000219|Blind Melon|20241102225344|20241102225344
000220|Randy Newman|20241102225344|20241102225344
000221|Velvet Revolver|20241102225344|20241102225344
000222|Lindsey Stirling|20241102225344|20241102225344
000223|Leo Kottke|20241102225344|20241102225344
000224|Lauryn Hill|20241102225344|20241102225344
000225|Chubby Checker|20241102225344|20241102225344
000226|Jackie Wilson|20241102225344|20241102225344
000227|The Byrds|20241102225344|20241102225344
000228|Gary Numan|20241102225344|20241102225344
000229|L.A. Guns|20241102225344|20241102225344
000230|Lydia Lunch|20241102225344|20241102225344
000231|The Communards|20241102225344|20241102225344
000232|The Prodigy|20241102225344|20241102225344
